CANNOT chose from ссѣдати	 to 	ссѣцати, снѣдати, ссѣкати, сѣдати, свѣдати, всѣдати	 distance == 1
CANNOT chose from агафонъ	 to 	ганафонъ, анафофъ, афонъ, гавафонъ, марафонъ, арафофъ	 distance == 2
CANNOT chose from оженити	 to 	осѣнити, оцѣнити	 distance == 1
CANNOT chose from исакъ	 to 	акакъ, нисанъ, ипатъ, инокъ, санъ, зракъ, злакъ, знакъ, мракъ, асанъ, гисамъ, бракъ, ирасъ, игалъ, садъ, сокъ	 distance == 2
CANNOT chose from пращати	 to 	прещати, прощати	 distance == 1
CANNOT chose from исавъ	 to 	нисанъ, ипатъ, удавъ, санъ, аравъ, уставъ, асанъ, гисамъ, ирасъ, моавъ, игалъ, садъ, авъ	 distance == 2
CANNOT chose from заулонъ	 to 	еалонъ, аилонъ, гаилонъ, залогъ, законъ	 distance == 2
CANNOT chose from роба	 to 	рыба, раба	 distance == 1
CANNOT chose from данъ	 to 	санъ, даръ, панъ	 distance == 1
CANNOT chose from купати	 to 	купити, копати, капати	 distance == 1
CANNOT chose from сронити	 to 	совнити, согнити, снити	 distance == 2
CANNOT chose from ссыпати	 to 	усыпати, осыпати, сыпати, всыпати	 distance == 1
CANNOT chose from влѣщи	 to 	втещи, увлещи, лещи, слещи, улещи, вжещи, врещи	 distance == 1
CANNOT chose from привлѣщи	 to 	спривлещи, провлещи	 distance == 1
CANNOT chose from изврѣщи	 to 	изрещи, извлещи	 distance == 1
CANNOT chose from рѣнь	 to 	рѣчь, тѣнь, сѣнь, рѣзь	 distance == 1
CANNOT chose from мщица	 to 	мшица, дщица	 distance == 1
CANNOT chose from прыщь	 to 	хрущь, плищь	 distance == 2
CANNOT chose from топити	 to 	томити, точити	 distance == 1
CANNOT chose from притиснути	 to 	приникнути, притѣсняти, прикоснути	 distance == 2
CANNOT chose from несвратный	 to 	несварный, нестрастный, нератный, невращный	 distance == 2
CANNOT chose from рубити	 to 	рушити, трубити, губити, убити	 distance == 1
CANNOT chose from прѣди	 to 	впреди, спреди, среди, преки	 distance == 1
CANNOT chose from строи	 to 	стропъ, стрый	 distance == 2
CANNOT chose from остоя	 to 	стая, ость	 distance == 2
CANNOT chose from овесъ	 to 	вѣсъ, овенъ	 distance == 1
CANNOT chose from цѣжь	 to 	мечь, ежъ, царь, день	 distance == 2
CANNOT chose from кисель	 to 	гимель, гигель, житель	 distance == 2
CANNOT chose from кормля	 to 	корма, кормчая	 distance == 2
CANNOT chose from цѣсарица	 to 	кесариа, царица	 distance == 2
CANNOT chose from трѣбити	 to 	трубити, отребити	 distance == 1
CANNOT chose from болесть	 to 	лесть, волость, бѣлость, доблесть, буесть	 distance == 2
CANNOT chose from обертѣти	 to 	облетѣти, вертѣти	 distance == 2
CANNOT chose from почестие	 to 	нечестие, почитие	 distance == 2
CANNOT chose from прѣставление	 to 	приставление, представление	 distance == 1
CANNOT chose from дѣмонъ	 to 	иеронъ, гелмонъ, феонъ, деданъ, хелонъ, аермонъ, ремаонъ, семеонъ, деворъ, семофъ, камонъ, ермонъ, делфонъ, алмонъ, геонъ, пеонъ, дивонъ, телмонъ, селмонъ, игемонъ	 distance == 2
CANNOT chose from вострь	 to 	кость, ость, вѣсть	 distance == 2
CANNOT chose from стугна	 to 	стужа, стѣна, страна, туга, стамна, струна	 distance == 2
CANNOT chose from нарубати	 to 	наругати, нарушати	 distance == 1
CANNOT chose from насадъ	 to 	нардъ, амадъ, нисанъ, народъ, васанъ, саладъ, асанъ, находъ, арадъ, авадъ, садъ, западъ	 distance == 2
CANNOT chose from взняти	 to 	взяти, выняти, вняти	 distance == 1
CANNOT chose from прѣлестный	 to 	прелѣтный, пречестный	 distance == 1
CANNOT chose from глѣбовъ	 to 	елековъ, гефовъ, галеловъ	 distance == 2
CANNOT chose from торчинъ	 to 	тиринъ, форвинъ	 distance == 2
CANNOT chose from поврѣщи	 to 	порещи, повлещи, воврещи	 distance == 1
CANNOT chose from колода	 to 	вологда, корона, кодола, порода, колиба	 distance == 2
CANNOT chose from путша	 to 	патма, путь, путы, кукша	 distance == 2
CANNOT chose from недрѣманный	 to 	недѣланный, непремѣнный, недремленный	 distance == 2
CANNOT chose from страстникъ	 to 	соратникъ, стражникъ, странникъ	 distance == 2
CANNOT chose from корзно	 to 	корыто, колѣно	 distance == 2
CANNOT chose from поромоный	 to 	породный, порочный	 distance == 2
CANNOT chose from рокомъ	 to 	ропотъ, госомъ, родосъ, гофомъ, содомъ	 distance == 2
CANNOT chose from вставати	 to 	ставати, оставати	 distance == 1
CANNOT chose from повелику	 to 	поколику, потолику	 distance == 2
CANNOT chose from прѣдстояти	 to 	пристояти, предсияти, престаяти, предотъяти, сопредстояти, предстати, престрояти, предустрояти	 distance == 2
CANNOT chose from извлѣщи	 to 	изврещи, низвлещи	 distance == 1
CANNOT chose from пронзти	 to 	пронзити, пронзати	 distance == 1
CANNOT chose from буды	 to 	судъ, удъ, путы, блудъ, пудъ, узы, увы	 distance == 2
CANNOT chose from трѣска	 to 	враска, тесла, тетка, рѣка, краска, треба, тоска	 distance == 2
CANNOT chose from расѣщи	 to 	разсѣщи, насѣщи	 distance == 1
CANNOT chose from неродие	 to 	отродие, сродие	 distance == 2
CANNOT chose from плотникъ	 to 	похотникъ, постникъ, положникъ, путникъ	 distance == 2
CANNOT chose from потяти	 to 	пояти, поняти	 distance == 1
CANNOT chose from обломити	 to 	отломити, обложити	 distance == 1
CANNOT chose from одалати	 to 	давати, дѣлати	 distance == 2
CANNOT chose from вздѣти	 to 	вдѣти, вѣдѣти, видѣти	 distance == 1
CANNOT chose from сступати	 to 	уступати, вступати, ступати	 distance == 1
CANNOT chose from берестие	 to 	безвѣстие, нечестие, безчестие, безмѣстие	 distance == 2
CANNOT chose from вогнати	 to 	погнати, возгнати	 distance == 1
CANNOT chose from стыдѣти	 to 	стрети, срыдати, стыдѣтися, сѣдѣти, свѣдѣти	 distance == 2
CANNOT chose from касожский	 to 	асорский, калужский	 distance == 2
CANNOT chose from голодъ	 to 	городъ, голосъ	 distance == 1
CANNOT chose from посвѣтити	 to 	освѣтити, просвѣтити, посѣтити, посвятити	 distance == 1
CANNOT chose from устати	 to 	стати, остати	 distance == 1
CANNOT chose from белзъ	 to 	мѣлъ, бѣлецъ, бефъ, гелъ, бѣгъ, бѣсъ, шелкъ	 distance == 2
CANNOT chose from рось	 to 	русь, роса, рысь	 distance == 1
CANNOT chose from рось	 to 	русь, роса, рысь	 distance == 1
CANNOT chose from порубъ	 to 	поручь, рубъ, пругъ	 distance == 2
CANNOT chose from починати	 to 	почитати, пожинати, почивати, поминати	 distance == 1
CANNOT chose from сдирати	 to 	стирати, сзирати, одирати	 distance == 1
CANNOT chose from хозъ	 to 	возъ, ходъ, хоръ	 distance == 1
CANNOT chose from яневъ	 to 	оновъ, ноевъ, ановъ	 distance == 2
CANNOT chose from прѣкладати	 to 	преобладати, предлагати, преплавати, прекланяти, прекращати, препадати, прелагати, предгадати	 distance == 2
CANNOT chose from симонъ	 to 	силонъ, сидонъ, сиронъ, сионъ	 distance == 1
CANNOT chose from варламъ	 to 	аламъ, варваръ, аиламъ	 distance == 2
CANNOT chose from столпие	 to 	стволие, столѣтие, струпие, стояние	 distance == 2
CANNOT chose from акже	 to 	такоже, какоже, аможе, ако	 distance == 2
CANNOT chose from которати	 to 	поорати, возорати, поборати, отирати	 distance == 2
CANNOT chose from заводити	 to 	наводити, заходити	 distance == 1
CANNOT chose from антиохъ	 to 	антифонъ, антидоръ	 distance == 2
CANNOT chose from нахожение	 to 	нахождение, наложение	 distance == 1
CANNOT chose from прирости	 to 	привести, причести, принести	 distance == 2
CANNOT chose from ятинъ	 to 	станъ, ящикъ, тиръ, стихъ, овинъ, воинъ, млинъ, иктинъ, чинъ, аинъ, хинъ, гаинъ, кринъ, латинъ, клинъ, стонъ, зинъ, зоинъ	 distance == 2
CANNOT chose from африкия	 to 	фригия, африка, фракия	 distance == 2
CANNOT chose from сурия	 to 	сириа, буря, кария, струя	 distance == 2
CANNOT chose from расѣсти	 to 	расчести, засѣсти	 distance == 1
CANNOT chose from мска	 to 	дска, мука	 distance == 1
CANNOT chose from дотиснути	 to 	стиснути, втиснути	 distance == 2
CANNOT chose from уречи	 to 	узрѣти, умѣти, трети, брещи, усѣщи, врѣти, грѣти, утещи, рещи, улещи, зрѣти, умрети, жрети, врещи	 distance == 2
CANNOT chose from немига	 to 	нѣмота, верига, гемина	 distance == 2
CANNOT chose from подити	 to 	подути, подыти, подати	 distance == 1
CANNOT chose from мѣти	 to 	умѣти, имѣти	 distance == 1
CANNOT chose from раный	 to 	ратный, равный, разный, ранный, рабный	 distance == 1
CANNOT chose from хрустъ	 to 	хврастъ, трусъ, крестъ, ростъ, хвостъ	 distance == 2
CANNOT chose from кобъ	 to 	кожа, коса, коза, кора	 distance == 2
CANNOT chose from выймати	 to 	внимати, взимати	 distance == 2
CANNOT chose from закихание	 to 	запинание, заклинание, закалание, записание, заклание	 distance == 2
CANNOT chose from приключити	 to 	приклонити, приключитися, привлачити	 distance == 2
CANNOT chose from утолочити	 to 	утолити, утончити	 distance == 2
CANNOT chose from упихати	 to 	упитати, утихати	 distance == 1
CANNOT chose from осоромити	 to 	охромити, огромити, окормити	 distance == 2
CANNOT chose from прѣти	 to 	пѣти, прати, преити, преяти, врѣти, грѣти, зрѣти	 distance == 1
CANNOT chose from атъ	 to 	амо, ако	 distance == 2
CANNOT chose from высѣчи	 to 	высити, висѣти	 distance == 2
CANNOT chose from попинъ	 to 	подиръ, овинъ, воинъ, попъ, потиръ, зоинъ	 distance == 2
CANNOT chose from мовница	 to 	цѣвница, пѣвница, ложница, конница, ножница, мытница, бойница, сотница, мирница, горница, кошница, мѣдница	 distance == 2
CANNOT chose from низврѣщи	 to 	изврещи, низвлещи	 distance == 1
CANNOT chose from поторгати	 to 	отторгати, повергати, преторгати	 distance == 2
CANNOT chose from распущати	 to 	воспущати, распинати, спущати, напущати, распирати, испущати, расхищати, расписати, распалати, распущатися	 distance == 2
CANNOT chose from германъ	 to 	германинъ, гелмонъ, феранъ, аермонъ, герринъ, ермонъ, гераръ	 distance == 2
CANNOT chose from скупѣ	 to 	вкупѣ, скупо	 distance == 1
CANNOT chose from котора	 to 	котва, кора	 distance == 2
CANNOT chose from выгнание	 to 	рыгание, взыграние, отгнание, изгнание, гугнание	 distance == 2
CANNOT chose from взострити	 to 	острити, изостряти, обострити, взустити, наострити	 distance == 2
CANNOT chose from повозникъ	 to 	пособникъ, помощникъ, похотникъ, подобникъ, проводникъ, посошникъ, положникъ, повинникъ, поборникъ, порочникъ	 distance == 2
CANNOT chose from родинъ	 to 	иродианъ, подиръ, родъ, овинъ, воинъ, роженъ, родосъ, людинъ, зоинъ	 distance == 2
CANNOT chose from насѣяние	 to 	насмѣяние, надѣяние	 distance == 1
CANNOT chose from вгажати	 to 	угашати, уважати, вдѣжати, вдавати, вбѣжати, вращати, всаждати, выражати, вражити, впадати, влагати, угасати, сгарати	 distance == 2
CANNOT chose from врѣжати	 to 	вдѣжати, вбѣжати	 distance == 1
CANNOT chose from постити	 to 	поустити, пустити	 distance == 1
CANNOT chose from шибити	 to 	бабити, забити, живити, лишити, побити, вбити, губити, шити, винити, кичити, избити, прибити, чинити, бити, дивити, любити, убити, сбити, уширити, обити	 distance == 2
CANNOT chose from прашати	 to 	поражати, погашати	 distance == 2
CANNOT chose from игнатъ	 to 	ипатъ, игалъ	 distance == 2
CANNOT chose from лтець	 to 	лжецъ, чтецъ, отецъ	 distance == 2
CANNOT chose from прѣзрѣти	 to 	призрѣти, прозрѣти, предзрѣти	 distance == 1
CANNOT chose from любовникъ	 to 	любовница, ликовникъ	 distance == 2
CANNOT chose from намѣнити	 to 	намѣрити, замѣнити	 distance == 1
CANNOT chose from ти	 to 	ли, ни, и	 distance == 1
CANNOT chose from позрѣти	 to 	прозрѣти, созрѣти, позрити	 distance == 1
CANNOT chose from цвѣтокъ	 to 	цвѣтъ, цвѣтецъ	 distance == 2
CANNOT chose from подлѣ	 to 	подъ, возлѣ	 distance == 2
CANNOT chose from лѣпокъ	 to 	песокъ, шипокъ	 distance == 2
CANNOT chose from кунопъ	 to 	канонъ, кусокъ, конобъ, снопъ	 distance == 2
CANNOT chose from переити	 to 	перейти, преити	 distance == 1
CANNOT chose from давѣ	 to 	далѣе, давно	 distance == 2
CANNOT chose from никонъ	 to 	хитонъ, гилонъ, нисанъ, фисонъ, аилонъ, диаконъ, филонъ, силонъ, сидонъ, сиронъ, законъ, гионъ, икосъ, викионъ, дивонъ, сионъ	 distance == 2
CANNOT chose from та	 to 	да, а	 distance == 1
CANNOT chose from прѣкрестити	 to 	прекротити, прекратити	 distance == 2
CANNOT chose from бубонъ	 to 	блонъ, бутомъ, уронъ	 distance == 2
CANNOT chose from скутъ	 to 	скотъ, скитъ	 distance == 1
CANNOT chose from ростяти	 to 	достояти, состояти, постояти	 distance == 2
CANNOT chose from поливание	 to 	почивание, покивание	 distance == 1
CANNOT chose from посажати	 to 	посаждати, поражати	 distance == 1
CANNOT chose from вкладати	 to 	накладати, впадати, влагати, украдати, обладати, окрадати	 distance == 2
CANNOT chose from свита	 to 	схима, вина, слота, смута, вила, сила, слина, сина, спира, суета, слива, вота, свѣща, вира	 distance == 2
CANNOT chose from примерзнути	 to 	привергнути, померзнути	 distance == 2
CANNOT chose from разгорѣти	 to 	разгарати, разширѣти, разгонити, разгорѣтися, разботѣти, изгорѣти, разорити, разоряти, разгоняти	 distance == 2
CANNOT chose from палати	 to 	палити, пылати	 distance == 1
CANNOT chose from крѣплѣ	 to 	крѣпко, древлѣ, древле	 distance == 2
CANNOT chose from обще	 to 	еще, общно, вообще	 distance == 2
CANNOT chose from кметъ	 to 	уметъ, ометъ	 distance == 1
CANNOT chose from расыпати	 to 	насыпати, разсыпати, засыпати	 distance == 1
CANNOT chose from жлы	 to 	жила, тля	 distance == 2
CANNOT chose from олшие	 to 	обушие, отишие, молие	 distance == 2
CANNOT chose from ласковый	 to 	таковый, каковый	 distance == 2
CANNOT chose from рѣчистый	 to 	нечистый, пречистый	 distance == 1
CANNOT chose from янка	 to 	яма, дска, рябка, яуза, мука, рѣка, рука, язва, рядка, рака	 distance == 2
CANNOT chose from ефрѣмъ	 to 	гефемъ, едемъ, ефесъ	 distance == 2
CANNOT chose from федоръ	 to 	федморъ, гедоръ	 distance == 1
CANNOT chose from разглядати	 to 	возглядати, разглашати	 distance == 2
CANNOT chose from итларь	 to 	келарь, ааларь	 distance == 2
CANNOT chose from кубара	 to 	кара, кифара	 distance == 2
CANNOT chose from зарный	 to 	заемный, зазорный	 distance == 2
CANNOT chose from выкрасти	 to 	возрасти, врасти, вскласти, украсти, окрасти, красти	 distance == 2
CANNOT chose from истопити	 to 	источити, истомити, истощити	 distance == 1
CANNOT chose from олбегъ	 to 	обѣдъ, побѣгъ, бѣгъ, обѣтъ	 distance == 2
CANNOT chose from полонити	 to 	поклонити, положити	 distance == 1
CANNOT chose from маринъ	 to 	маранъ, муринъ	 distance == 1
CANNOT chose from порядъ	 to 	рядъ, порядокъ, обрядъ	 distance == 2
CANNOT chose from брѣгъ	 to 	берегъ, бѣгъ	 distance == 1
CANNOT chose from бонякъ	 to 	корякъ, бокъ	 distance == 2
CANNOT chose from зарубъ	 to 	харувъ, зубъ, зарокъ, рубъ, маруфъ, парусъ	 distance == 2
CANNOT chose from тенето	 to 	тѣсто, решето, рѣшето	 distance == 2
CANNOT chose from стукнути	 to 	стиснути, стягнути, исткнути, сѣкнути	 distance == 2
CANNOT chose from прѣдивный	 to 	премирный, противный, вседивный	 distance == 2
CANNOT chose from тутенъ	 to 	тлѣнъ, остенъ	 distance == 2
CANNOT chose from трѣбование	 to 	нетребование, пребывание	 distance == 2
CANNOT chose from тпати	 to 	ткати, спати	 distance == 1
CANNOT chose from вѣхати	 to 	вѣщати, ѣхати, вѣшати, вѣдати	 distance == 1
CANNOT chose from задъ	 to 	адъ, гадъ, садъ	 distance == 1
CANNOT chose from несмысльный	 to 	непомысльный, несмысленный	 distance == 2
CANNOT chose from уладити	 to 	усладити, угладити, сладити	 distance == 1
CANNOT chose from перебрести	 to 	перенести, перевести	 distance == 2
CANNOT chose from вкрасти	 to 	врасти, украсти, окрасти, красти	 distance == 1
CANNOT chose from батогъ	 to 	богъ, стогъ, налогъ, сапогъ, залогъ, бутомъ	 distance == 2
CANNOT chose from идѣ	 to 	гдѣ, здѣ, индѣ	 distance == 1
CANNOT chose from измаилевъ	 to 	израилевъ, исмаилевъ	 distance == 1
CANNOT chose from умаряти	 to 	уморяти, умиряти	 distance == 1
CANNOT chose from многовещный	 to 	многомощный, многоводный, многонощный	 distance == 2
CANNOT chose from пристраный	 to 	пристрастный, пристойный, пространный, приступный	 distance == 2
CANNOT chose from иевъ	 to 	левъ, киевъ	 distance == 1
CANNOT chose from сариный	 to 	старинный, саринъ, сырный, нардный, свиный	 distance == 2
CANNOT chose from куманъ	 to 	кинанъ, соманъ, амманъ, вуфанъ, кумиръ, кампанъ, киминъ, камонъ, обманъ, кумъ, каганъ, комаръ	 distance == 2
CANNOT chose from заклепати	 to 	заклати, закопати	 distance == 2
CANNOT chose from лука	 to 	луда, мука, рука, луча, луна	 distance == 1
CANNOT chose from ижещи	 to 	жещи, ожещи	 distance == 1
CANNOT chose from лѣнити	 to 	плѣнити, цѣнити, лѣчити	 distance == 1
CANNOT chose from лгота	 to 	легкота, долгота, лепта	 distance == 2
CANNOT chose from алочь	 to 	ложь, плоть, ночь	 distance == 2
CANNOT chose from потснути	 to 	потонути, поткнути	 distance == 1
CANNOT chose from совпрашати	 to 	совращати, совершати	 distance == 2
CANNOT chose from сстарѣти	 to 	истрети, стрети, сотрети	 distance == 2
CANNOT chose from устна	 to 	истина, стѣна, сина, узина	 distance == 2
CANNOT chose from прѣмудрый	 to 	пречудный, немудрый, прещедрый, лжемудрый, всемудрый, суемудрый	 distance == 2
CANNOT chose from прѣбѣгати	 to 	перебѣгати, прибѣгати, пробѣгати	 distance == 1
CANNOT chose from смѣрение	 to 	умѣрение, смѣжение, смирение, смѣшение, мѣрение	 distance == 1
CANNOT chose from прѣмилостивый	 to 	немилостивый, всемилостивый	 distance == 2
CANNOT chose from погорина	 to 	рогозина, половина	 distance == 2
CANNOT chose from побарати	 to 	побрати, поборати	 distance == 1
CANNOT chose from примышляти	 to 	промышляти, премышляти	 distance == 1
CANNOT chose from прѣслушати	 to 	пресушити, послушати, преступати	 distance == 2
CANNOT chose from осужати	 to 	осушати, осуждати	 distance == 1
CANNOT chose from колча	 to 	колъ, хола	 distance == 2
CANNOT chose from дивовати	 to 	жировати, миновати, ликовати, даровати, пировати, миловати	 distance == 2
CANNOT chose from подивовати	 to 	повиновати, помиловати, пожировати	 distance == 2
CANNOT chose from ложити	 to 	сложити, ожити, ловити, пожити, ломити, вложити, сожити	 distance == 1
CANNOT chose from придавати	 to 	предавати, продавати, придавити	 distance == 1
CANNOT chose from христити	 to 	очистити, растити, крестити, присѣтити, простити, ристати, чистити, пристати	 distance == 2
CANNOT chose from лагодити	 to 	наводити, находити, народити, угодити, заходити	 distance == 2
CANNOT chose from мротвный	 to 	кровный, противный	 distance == 2
CANNOT chose from привѣчати	 to 	привѣщати, примѣчати	 distance == 1
CANNOT chose from пущий	 to 	нищий, пѣший, тщий, общий, сухий, песий, шуий, буий	 distance == 2
CANNOT chose from намолвити	 to 	наполнити, молвити, намочити	 distance == 2
CANNOT chose from растрѣляти	 to 	стрѣляти, сострѣляти, устрѣляти, растрети, пострѣляти	 distance == 2
CANNOT chose from хоролъ	 to 	король, хоръ, орелъ	 distance == 2
CANNOT chose from изѣхати	 to 	избрати, изсѣкати, изрекати, ѣхати, изсыхати, извѣщати, изрѣзати, изорати, изжати, издати, изметати, изувати, изгнати, изымати, избѣгати, издыхати, изимати, избѣжати, изучати, изссати, изсѣцати, изслати	 distance == 2
CANNOT chose from прѣходити	 to 	проходити, приходити, переходити, предходити	 distance == 1
CANNOT chose from лѣгати	 to 	бѣгати, лгати	 distance == 1
CANNOT chose from ходота	 to 	хоботъ, ходатай	 distance == 2
CANNOT chose from асиня	 to 	ания, аинъ, асанъ, афины	 distance == 2
CANNOT chose from красенъ	 to 	расефъ, расемъ	 distance == 2
CANNOT chose from халѣпъ	 to 	далефъ, салемъ, хаслеиъ, фалетъ, фалефъ, хелекъ, заклепъ, халкъ, хлѣвъ, хлѣбъ, хаверъ, алефъ, халахъ	 distance == 2
CANNOT chose from голтавъ	 to 	составъ, голафъ, поставъ, голанъ	 distance == 2
CANNOT chose from рось	 to 	русь, роса, рысь	 distance == 1
CANNOT chose from рось	 to 	русь, роса, рысь	 distance == 1
CANNOT chose from гюргевъ	 to 	горгиевъ, юриевъ	 distance == 2
CANNOT chose from донъ	 to 	сонъ, домъ	 distance == 1
CANNOT chose from аепа	 to 	афа, папа	 distance == 2
CANNOT chose from переѣздити	 to 	переводити, переходити	 distance == 2
CANNOT chose from испомнѣти	 to 	исполнити, исполняти	 distance == 2
CANNOT chose from овчиный	 to 	очный, овощный, овчий, ослиный, свиный	 distance == 2
CANNOT chose from таревский	 to 	тарский, саровский	 distance == 2
CANNOT chose from кмети	 to 	умѣтъ, дѣти, мати, уметъ, ометъ	 distance == 2
CANNOT chose from сослати	 to 	соссати, послати	 distance == 1
CANNOT chose from дождати	 to 	дожидати, дождити	 distance == 1
CANNOT chose from рожне	 to 	ложе, рождие	 distance == 2
CANNOT chose from межа	 to 	мрежа, мета	 distance == 1
CANNOT chose from вягръ	 to 	варъ, взоръ, тигръ, вѣтръ, багръ, яръ	 distance == 2
CANNOT chose from отвыти	 to 	отмыти, отыти	 distance == 1
CANNOT chose from купанъ	 to 	кинанъ, купецъ, вуфанъ, кампанъ, панъ, каганъ	 distance == 2
CANNOT chose from давыдъ	 to 	навыкъ, давецъ, авадъ, доводъ	 distance == 2
CANNOT chose from сутѣнь	 to 	сажень, стѣна, тѣнь, сѣнь	 distance == 2
CANNOT chose from лѣзти	 to 	влѣзти, слѣзти	 distance == 1
CANNOT chose from потрѣбный	 to 	требный, непотребный, подробный, погрѣшный	 distance == 2
CANNOT chose from дрѣмати	 to 	гремѣти, храмати, драти, думати, срѣтати, прещати, урѣзати, предати, рѣшати, дручати, крещати, преимати, дрожати, рѣзати, дѣлати, хромати	 distance == 2
CANNOT chose from врѣдити	 to 	срѣтити, вѣрити, родити, крѣпити, вѣсити, грѣшити, прежити, упредити, рѣшити, пребити, претити, вперити, убѣдити, преити, врѣти, внѣдрити, ввѣрити, учредити, преджити, слѣдити, вражити, бродити, предыти, радити, предати, вмѣнити, вмѣсити, вѣдати, вручити, повредити, врѣяти, всадити, вселити, оцѣдити, водити, вадити, вѣдѣти, вреждати, прелити, входити, всѣдати, вводити	 distance == 2
CANNOT chose from жаль	 to 	жила, боль, соль, жаба, кадь, вала, цѣль, рать, дань, желчь, желвь	 distance == 2
CANNOT chose from остромъ	 to 	островъ, острогъ	 distance == 1
CANNOT chose from ладити	 to 	кадити, садити, радити, вадити, сладити	 distance == 1
CANNOT chose from смѣрити	 to 	мѣрити, смирити, смѣсити, умѣрити, смѣжити	 distance == 1
CANNOT chose from пожарный	 to 	коварный, кожаный, поборный, прозарный, покорный, поганый, пожданный, рожаный	 distance == 2
CANNOT chose from прѣдити	 to 	прежити, упредити, пребити, претити, преити, преджити, предыти, вредити, предати, прелити	 distance == 1
CANNOT chose from отгрѣбати	 to 	отрѣвати, отрѣшати, погребати, отрѣзати, огрѣвати, отребити, отгребатися	 distance == 2
CANNOT chose from смѣряти	 to 	умѣряти, мѣряти, смиряти	 distance == 1
CANNOT chose from прѣтерпѣти	 to 	потерпѣти, претерпѣвати, претрети	 distance == 2
CANNOT chose from лисий	 to 	нищий, дикий, лишший, синий, дивий, песий, тихий, никий, писчий	 distance == 2
CANNOT chose from кчий	 to 	улий, елий, клей, край, змий, маий	 distance == 2
CANNOT chose from куманъ	 to 	кинанъ, соманъ, амманъ, вуфанъ, кумиръ, кампанъ, киминъ, камонъ, обманъ, кумъ, каганъ, комаръ	 distance == 2
CANNOT chose from асупъ	 to 	судъ, суръ, трупъ, пупъ, асоръ, асемъ, алулъ, анунъ, искупъ, акумъ, асъ, фасуръ, асанъ	 distance == 2
CANNOT chose from куртокъ	 to 	турокъ, котокъ, кусокъ, крокъ, урокъ	 distance == 2
CANNOT chose from сурбарь	 to 	сударь, сухарь	 distance == 2
CANNOT chose from змиевый	 to 	змиевъ, змииный	 distance == 2
CANNOT chose from мордва	 to 	москва, молва	 distance == 2
CANNOT chose from хватати	 to 	уважати, храмати, свитати, встати, свѣтати, ухватити, хвалити, витати	 distance == 2
CANNOT chose from тазъ	 to 	разъ, азъ	 distance == 1
CANNOT chose from аепиный	 to 	аспидный, непитный	 distance == 2
CANNOT chose from внука	 to 	мука, скука, рука, наука	 distance == 2
CANNOT chose from мчетный	 to 	мечный, мутный	 distance == 2
CANNOT chose from кривость	 to 	нравость, крѣпость, правость, кротость	 distance == 2
CANNOT chose from феоктистъ	 to 	феопистъ, феоктиристъ	 distance == 2
CANNOT chose from кловъ	 to 	кровъ, ковъ, ловъ, клокъ	 distance == 1
CANNOT chose from лиць	 to 	сице, ницъ	 distance == 2
CANNOT chose from игуменити	 to 	измѣнити, изменити	 distance == 2
CANNOT chose from рядити	 to 	родити, радити	 distance == 1
CANNOT chose from прѣпѣтый	 to 	прелѣтный, прелютый, всепѣтый, трепетный	 distance == 2
CANNOT chose from прѣстати	 to 	предстати, перестати, пристати	 distance == 1
CANNOT chose from протъ	 to 	плотъ, потъ	 distance == 1
CANNOT chose from смядина	 to 	лядина, средина, сѣдина	 distance == 2
CANNOT chose from кордно	 to 	корыто, колѣно	 distance == 2
CANNOT chose from истрѣляти	 to 	стрѣляти, устрѣляти	 distance == 1
CANNOT chose from запрѣтити	 to 	заплатити, претити, запрещати, запрети, заплѣнити, замѣтити	 distance == 2
CANNOT chose from вразумѣние	 to 	вразумление, уразумѣние, разумѣние	 distance == 1
CANNOT chose from назание	 to 	наздание, название	 distance == 1
CANNOT chose from касати	 to 	капати, карати	 distance == 1
CANNOT chose from вздаание	 to 	воздаяние, воздание	 distance == 2
CANNOT chose from разѣвати	 to 	развѣвати, разсѣвати	 distance == 1
CANNOT chose from кроха	 to 	корона, кора	 distance == 2
CANNOT chose from чавкати	 to 	наткати, ласкати, давати, навыкати, алкати	 distance == 2
CANNOT chose from Чесночный	 to 	песочный, несносный	 distance == 2
CANNOT chose from варинъ	 to 	варъ, варни, воинъ, угринъ, вауримъ, сарихъ, воронъ, тиринъ, васанъ, харминъ, маранъ, муринъ, аинъ, каркинъ, танинъ, харанъ, аршинъ, гаинъ, кринъ, вранъ, суринъ, гаригъ, латинъ, окринъ, варягъ, аваримъ, аримъ, кашинъ	 distance == 2
CANNOT chose from свѣтый	 to 	святый, свѣтлый	 distance == 1
CANNOT chose from ростричи	 to 	острити, острищи, пострищи	 distance == 2
CANNOT chose from добролѣпный	 to 	достолѣпный, доброличный, добролучный	 distance == 2
CANNOT chose from доброродный	 to 	доброхотный, доброплодный, доброточный, добровонный	 distance == 2
CANNOT chose from торчинъ	 to 	тиринъ, форвинъ	 distance == 2
CANNOT chose from конюхъ	 to 	монахъ, онихъ, конобъ, конецъ	 distance == 2
CANNOT chose from оторопъ	 to 	стропъ, отрокъ, отродъ	 distance == 2
CANNOT chose from почудити	 to 	посудити, побудити, понудити	 distance == 1
CANNOT chose from бѣгнути	 to 	бѣгнути#, вбѣгнути	 distance == 1
CANNOT chose from грети	 to 	трети, огрѣти, горѣти, жрети	 distance == 1
CANNOT chose from безлобие	 to 	беззлобие, незлобие	 distance == 1
